filename,primary_label,secondary_labels,rating,duration,data_year,length,fold
akiapo/XC122399.ogg,akiapo,"['apapan', 'hawama', 'iiwi']",4.5,938496,2022,938496,0
akiapo/XC122401.ogg,akiapo,"['apapan', 'iiwi', 'warwhe1']",4.5,1750272,2022,1750272,4
akiapo/XC122693.ogg,akiapo,['apapan'],4.5,550656,2022,550656,3
akiapo/XC124705.ogg,akiapo,"['apapan', 'elepai', 'hawama', 'iiwi', 'omao', 'warwhe1']",3.5,7113216,2022,7113216,2
akiapo/XC124801.ogg,akiapo,"['apapan', 'hawama', 'iiwi', 'omao', 'warwhe1']",2.5,2377728,2022,2377728,1
akiapo/XC144826.ogg,akiapo,"['apapan', 'hawama', 'iiwi']",4.5,2305536,2022,2305536,4
akiapo/XC147003.ogg,akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']",3.5,3681024,2022,3681024,0
akiapo/XC27355.ogg,akiapo,[],4.0,341891,2022,341891,2
akiapo/XC27374.ogg,akiapo,"['hawama', 'iiwi']",3.5,999758,2022,999758,1
akiapo/XC27376.ogg,akiapo,['iiwi'],2.5,2349767,2022,2349767,2
akiapo/XC306424.ogg,akiapo,[],5.0,957127,2022,957127,0
akiapo/XC385387.ogg,akiapo,['hawama'],4.5,406272,2022,406272,3
akiapo/XC648118.ogg,akiapo,['apapan'],3.5,488992,2022,488992,4
akiapo/XC648120.ogg,akiapo,[],4.0,98624,2022,98624,3
aniani/XC174949.ogg,aniani,['kauama'],3.5,167184,2022,167184,0
aniani/XC174952.ogg,aniani,"['apapan', 'kauama']",3.5,928705,2022,928705,1
aniani/XC174955.ogg,aniani,['apapan'],3.5,456411,2022,456411,2
aniani/XC210202.ogg,aniani,[],5.0,716382,2022,716382,1
aniani/XC210203.ogg,aniani,[],4.0,1346664,2022,1346664,4
aniani/XC210204.ogg,aniani,[],4.0,817528,2022,817528,3
aniani/XC210205.ogg,aniani,[],4.0,1405179,2022,1405179,0
aniani/XC210206.ogg,aniani,[],5.0,656196,2022,656196,2
aniani/XC256222.ogg,aniani,[],2.0,501551,2022,501551,4
aniani/XC27338.ogg,aniani,['iiwi'],4.5,4056712,2022,4056712,4
aniani/XC314503.ogg,aniani,[],0.0,2303791,2022,2303791,0
aniani/XC317139.ogg,aniani,[],4.0,669571,2022,669571,3
apapan/XC139974.ogg,apapan,[],4.0,2717571,2022,2717571,0
apapan/XC174948.ogg,apapan,['aniani'],3.5,1223784,2022,1223784,0
apapan/XC175215.ogg,apapan,['saffin'],3.5,458919,2022,458919,1
apapan/XC175225.ogg,apapan,"['spodov', 'zebdov']",3.5,2292924,2022,2292924,1
apapan/XC175230.ogg,apapan,[],5.0,4753032,2022,4753032,3
apapan/XC175233.ogg,apapan,['houfin'],3.5,458919,2022,458919,2
apapan/XC175507.ogg,apapan,['iiwi'],3.5,1310720,2022,1310720,4
apapan/XC175508.ogg,apapan,['iiwi'],3.5,313469,2022,313469,1
apapan/XC210193.ogg,apapan,[],4.0,449724,2022,449724,3
